UF;YEAR;MONTH;CHUVA;DENGUE
SP;2015;01;4465.0;772.0
SP;2015;02;6595.0;3086.0
SP;2015;03;6210.6;8824.0
SP;2015;04;1862.0;9932.0
SP;2015;05;2756.6;8919.0
SP;2015;06;571.2;3116.0
SP;2015;07;2145.4;1121.0
SP;2015;08;568.4;601.0
SP;2015;09;4513.8;432.0
SP;2015;10;3177.6;440.0
SP;2015;11;7333.2;721.0
SP;2015;12;6328.6;831.0
MG;2015;01;3511.4;163.0
MG;2015;02;8882.4;361.0
MG;2015;03;8544.2;1916.0
MG;2015;04;3813.0;5324.0
MG;2015;05;2958.4;8144.0
MG;2015;06;841.2;2317.0
MG;2015;07;486.4;510.0
MG;2015;08;479.8;251.0
MG;2015;09;2978.2;203.0
MG;2015;10;3052.4;203.0
MG;2015;11;9413.4;792.0
MG;2015;12;8446.6;1597.0
ES;2015;01;88.4;1172.0
ES;2015;02;895.6;997.0
ES;2015;03;764.8;1985.0
ES;2015;04;491.4;3088.0
ES;2015;05;1082.6;6303.0
ES;2015;06;895.6;4429.0
ES;2015;07;287.8;3406.0
ES;2015;08;373.8;3684.0
ES;2015;09;388.0;3080.0
ES;2015;10;357.8;3970.0
ES;2015;11;572.6;5707.0
ES;2015;12;709.4;6987.0
RS;2015;01;7161.2;26.0
RS;2015;02;3942.2;30.0
RS;2015;03;2638.4;92.0
RS;2015;04;3059.4;148.0
RS;2015;05;4792.4;182.0
RS;2015;06;4908.4;48.0
RS;2015;07;7400.8;19.0
RS;2015;08;2918.8;31.0
RS;2015;09;5532.2;13.0
RS;2015;10;9491.8;19.0
RS;2015;11;5674.8;42.0
RS;2015;12;10341.8;80.0
PR;2015;01;2450.6;2992.0
PR;2015;02;3136.4;6362.0
PR;2015;03;2700.6;22894.0
PR;2015;04;1249.4;25386.0
PR;2015;05;2329.4;14807.0
PR;2015;06;1476.8;4680.0
PR;2015;07;3717.2;2302.0
PR;2015;08;760.8;3045.0
PR;2015;09;2980.0;1935.0
PR;2015;10;4111.2;2175.0
PR;2015;11;5959.0;4116.0
PR;2015;12;4982.4;6235.0
CE;2015;01;504.0;1747.0
CE;2015;02;1497.4;2697.0
CE;2015;03;2734.0;7290.0
CE;2015;04;1973.0;9292.0
CE;2015;05;843.4;18660.0
CE;2015;06;577.8;9605.0
CE;2015;07;716.6;4778.0
CE;2015;08;35.6;3233.0
CE;2015;09;66.6;950.0
CE;2015;10;19.0;635.0
CE;2015;11;11.8;718.0
CE;2015;12;282.2;566.0
RJ;2015;01;1200.6;3466.0
RJ;2015;02;1839.4;4616.0
RJ;2015;03;2227.0;13352.0
RJ;2015;04;1477.8;14040.0
RJ;2015;05;956.6;13032.0
RJ;2015;06;1128.4;4861.0
RJ;2015;07;347.0;2696.0
RJ;2015;08;258.6;2563.0
RJ;2015;09;1747.4;1309.0
RJ;2015;10;878.8;1326.0
RJ;2015;11;3068.2;3518.0
RJ;2015;12;2109.0;7100.0
MG;2016;11;13838.6;101.0
MG;2016;12;11459.2;210.0
PR;2016;06;1709.6;1590.0
PR;2016;07;1208.2;1646.0
PR;2016;08;2905.6;1358.0
PR;2016;09;1161.2;1623.0
PR;2016;10;3740.6;2979.0
PR;2016;11;2161.4;3035.0
PR;2016;12;4527.6;3581.0
PR;2016;01;3801.2;39460.0
PR;2016;02;4652.6;56305.0
PR;2016;03;2390.4;48403.0
PR;2016;04;1584.8;40074.0
PR;2016;05;3169.6;10382.0
RS;2016;01;3554.2;3.0
RS;2016;02;4066.2;1.0
RS;2016;03;7094.4;6.0
RS;2016;04;7445.6;4.0
RS;2016;05;2516.2;3.0
RS;2016;06;768.4;0.0
RS;2016;07;4302.8;0.0
RS;2016;08;4652.6;0.0
RS;2016;09;2391.2;0.0
RS;2016;10;9883.2;0.0
RS;2016;11;5052.4;0.0
RS;2016;12;6149.8;1.0
CE;2016;01;1772.4;2924.0
CE;2016;02;558.6;4025.0
CE;2016;03;1536.8;5502.0
CE;2016;04;1162.0;10077.0
CE;2016;05;656.4;16837.0
CE;2016;06;249.2;8875.0
CE;2016;07;33.2;6850.0
CE;2016;08;25.2;3303.0
CE;2016;09;35.8;1958.0
CE;2016;10;18.6;1956.0
CE;2016;11;13.4;1551.0
CE;2016;12;342.8;1339.0
MG;2016;01;19926.0;9705.0
MG;2016;02;5036.4;23590.0
MG;2016;03;5847.4;22406.0
MG;2016;04;1334.0;16006.0
MG;2016;05;1127.2;4920.0
MG;2016;06;2070.4;817.0
MG;2016;07;217.4;299.0
MG;2016;08;710.4;84.0
MG;2016;09;1797.0;97.0
MG;2016;10;4834.0;131.0
SP;2016;01;8540.8;3949.0
SP;2016;02;5933.0;6079.0
SP;2016;03;4522.2;6442.0
SP;2016;04;890.4;6359.0
SP;2016;05;2823.2;3126.0
SP;2016;06;2771.6;579.0
SP;2016;07;294.0;318.0
SP;2016;08;1983.8;204.0
